image_id,file_name,file_path,image_width_px,image_height_px,image_size_byte,origin_link,date_saved,raw_conv_fctr
NYJ9bZr,NYJ9bZr_raw.jpg,/home/pi/c_drive/test_dl/NYJ9bZr/NYJ9bZr_raw.jpg,1065,1065,72822,https://i.imgur.com/NYJ9bZr.jpg,2021-04-12,1.0
NYJ9bZr,NYJ9bZr_thumbnail.jpg,/home/pi/c_drive/test_dl/NYJ9bZr/NYJ9bZr_thumbnail.jpg,71,71,1719,https://i.imgur.com/NYJ9bZr.jpg,2021-04-12,0.0676056338028169
NYJ9bZr,NYJ9bZr_preview.jpg,/home/pi/c_drive/test_dl/NYJ9bZr/NYJ9bZr_preview.jpg,200,200,5830,https://i.imgur.com/NYJ9bZr.jpg,2021-04-12,0.18779342723004694
UBu9Xfj,UBu9Xfj_raw.jpg,/home/pi/c_drive/test_dl/UBu9Xfj/UBu9Xfj_raw.jpg,1536,2048,177087,https://i.imgur.com/UBu9Xfj.jpg,2021-04-12,1.0
UBu9Xfj,UBu9Xfj_thumbnail.jpg,/home/pi/c_drive/test_dl/UBu9Xfj/UBu9Xfj_thumbnail.jpg,54,72,1349,https://i.imgur.com/UBu9Xfj.jpg,2021-04-12,0.03515625
UBu9Xfj,UBu9Xfj_preview.jpg,/home/pi/c_drive/test_dl/UBu9Xfj/UBu9Xfj_preview.jpg,150,200,4273,https://i.imgur.com/UBu9Xfj.jpg,2021-04-12,0.09765625
TGdzYa5,TGdzYa5_raw.jpg,/home/pi/c_drive/test_dl/TGdzYa5/TGdzYa5_raw.jpg,681,613,49435,https://i.imgur.com/TGdzYa5.jpg,2021-04-12,1.0
TGdzYa5,TGdzYa5_thumbnail.jpg,/home/pi/c_drive/test_dl/TGdzYa5/TGdzYa5_thumbnail.jpg,79,72,2635,https://i.imgur.com/TGdzYa5.jpg,2021-04-12,0.11745513866231648
TGdzYa5,TGdzYa5_preview.jpg,/home/pi/c_drive/test_dl/TGdzYa5/TGdzYa5_preview.jpg,222,200,10730,https://i.imgur.com/TGdzYa5.jpg,2021-04-12,0.3262642740619902
ZnACWPc,ZnACWPc_raw.jpg,/home/pi/c_drive/test_dl/ZnACWPc/ZnACWPc_raw.jpg,2048,1502,265471,https://i.imgur.com/ZnACWPc.jpg,2021-04-12,1.0
ZnACWPc,ZnACWPc_thumbnail.jpg,/home/pi/c_drive/test_dl/ZnACWPc/ZnACWPc_thumbnail.jpg,98,72,3019,https://i.imgur.com/ZnACWPc.jpg,2021-04-12,0.047936085219707054
ZnACWPc,ZnACWPc_preview.jpg,/home/pi/c_drive/test_dl/ZnACWPc/ZnACWPc_preview.jpg,272,200,11978,https://i.imgur.com/ZnACWPc.jpg,2021-04-12,0.13315579227696406
kKXxBii,kKXxBii_raw.jpg,/home/pi/c_drive/test_dl/kKXxBii/kKXxBii_raw.jpg,960,720,75218,https://i.imgur.com/kKXxBii.jpg,2021-04-12,1.0
kKXxBii,kKXxBii_thumbnail.jpg,/home/pi/c_drive/test_dl/kKXxBii/kKXxBii_thumbnail.jpg,96,72,3123,https://i.imgur.com/kKXxBii.jpg,2021-04-12,0.1
kKXxBii,kKXxBii_preview.jpg,/home/pi/c_drive/test_dl/kKXxBii/kKXxBii_preview.jpg,266,200,13608,https://i.imgur.com/kKXxBii.jpg,2021-04-12,0.2777777777777778
OaKyk7K,OaKyk7K_raw.jpg,/home/pi/c_drive/test_dl/OaKyk7K/OaKyk7K_raw.jpg,700,506,72452,https://i.imgur.com/OaKyk7K.jpg,2021-04-12,1.0
OaKyk7K,OaKyk7K_thumbnail.jpg,/home/pi/c_drive/test_dl/OaKyk7K/OaKyk7K_thumbnail.jpg,99,72,3531,https://i.imgur.com/OaKyk7K.jpg,2021-04-12,0.1422924901185771
OaKyk7K,OaKyk7K_preview.jpg,/home/pi/c_drive/test_dl/OaKyk7K/OaKyk7K_preview.jpg,276,200,16956,https://i.imgur.com/OaKyk7K.jpg,2021-04-12,0.3952569169960474
ivbJqf4,ivbJqf4_raw.jpg,/home/pi/c_drive/test_dl/ivbJqf4/ivbJqf4_raw.jpg,3024,4032,1256047,https://i.imgur.com/ivbJqf4.jpg,2021-04-12,1.0
